index,Order ID,Date,Status,Fulfilment,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code
28226,402-3903332-7247565,04-14-22,Shipped,Amazon,Set,XXL,B08YNKWYXV,Shipped,1,922,VARANASI,UTTAR PRADESH,221010
28227,404-6551796-6576302,04-14-22,Shipped,Amazon,kurta,M,B081XDBBSH,Shipped,1,759,MUZAFFARNAGAR,UTTAR PRADESH,251001
28228,405-1347932-8385125,04-14-22,Cancelled,Merchant,Set,M,B0822TDMYH,Null,0,1256,Nellyadi,KARNATAKA,574229
28229,406-5209952-9655537,04-14-22,Shipped,Amazon,Set,L,B08P1DJ2RT,Shipped,1,471,GHAZIABAD,UTTAR PRADESH,201010
28230,406-3809248-1205117,04-14-22,Shipped,Amazon,kurta,XL,B07T3ZRZ1D,Shipped,1,750,GHAZIABAD,UTTAR PRADESH,201010
28231,406-2885364-9870708,04-14-22,Shipped,Amazon,kurta,L,B07WP5G7MK,Shipped,1,571,GHAZIABAD,UTTAR PRADESH,201010
28232,408-6778404-6285134,04-14-22,Shipped,Amazon,Top,L,B08RYQQD6Z,Shipped,1,376,DUMKA,JHARKHAND,814101
28233,404-1591772-8573952,04-14-22,Cancelled,Amazon,Set,M,B0894XYMWS,Unshipped,1,376,NEW DELHI,DELHI,110043
28234,404-6088654-0030737,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,3XL,B099WXH67W,Shipped,1,540,BENGALURU,KARNATAKA,560093
28235,407-2757870-7887522,04-14-22,Shipped,Amazon,Set,XXL,B08N4LTTPV,Shipped,1,1140,NAGPUR,MAHARASHTRA,440014
28236,406-4688878-5433126,04-14-22,Shipped - Delivered to Buyer,Merchant,Western Dress,3XL,B08N3Y1RLL,Shipped,1,548,KALYAN,MAHARASHTRA,421204
28237,405-0925512-8926716,04-14-22,Shipped,Amazon,Set,S,B08YNRB2DW,Shipped,1,699,VARANASI,UTTAR PRADESH,221005
28238,408-7396512-0133969,04-14-22,Cancelled,Merchant,kurta,L,B09K3ZKHMW,Null,0,443,DHANBAD,JHARKHAND,826001
28239,171-3597761-7385923,04-14-22,Shipped,Amazon,kurta,XL,B08YYTGRYB,Shipped,1,824,ROURKELA,ODISHA,769003
28240,407-0590776-3820310,04-14-22,Shipped,Amazon,kurta,L,B081X4S825,Shipped,1,437,ROHTAK,HARYANA,124001
28241,405-8532529-1558719,04-14-22,Shipped,Amazon,kurta,M,B07GRSF1FC,Shipped,1,476,PORT BLAIR,ANDAMAN & NICOBAR ,744101
28242,408-8546254-6354747,04-14-22,Shipped,Amazon,kurta,M,B08XW3RW7P,Shipped,1,471,SANTIPUR,WEST BENGAL,741404
28243,171-0319525-2338759,04-14-22,Shipped,Amazon,kurta,XS,B08XW83VLB,Shipped,1,357,PUNE,MAHARASHTRA,411046
28244,404-9951218-9216338,04-14-22,Shipped,Amazon,kurta,XL,B08XVKMPHJ,Shipped,1,399,PUDUCHERRY,PUDUCHERRY,605011
28245,404-6749109-7866735,04-14-22,Shipped,Amazon,kurta,XS,B099FDMPVZ,Shipped,1,399,Patna,BIHAR,800014
28246,403-9988215-3426758,04-14-22,Shipped,Amazon,kurta,XXL,B08YYTB4R3,Shipped,1,399,pune,MAHARASHTRA,411014
28247,403-4082713-6432358,04-14-22,Shipped,Amazon,kurta,XXL,B08YYW2WZY,Shipped,1,345,pune,MAHARASHTRA,411014
28248,403-0336825-2355530,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XXL,B08YYSXVCG,Shipped,1,475,pune,MAHARASHTRA,411014
28249,403-0336825-2355530,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XXL,B08YZ16M9S,Shipped,1,438,pune,MAHARASHTRA,411014
28250,404-3575316-7622707,04-14-22,Shipped,Amazon,kurta,L,B06Y5CFQSQ,Shipped,1,475,AGRA,UTTAR PRADESH,282002
28251,406-7301677-9700332,04-14-22,Cancelled,Amazon,Set,S,B08WHYM2X9,Unshipped,1,484,Dombivli,MAHARASHTRA,421202
28252,403-3163249-3900325,04-14-22,Shipped,Amazon,kurta,XS,B08TH2M8KR,Shipped,1,357,PATNA,BIHAR,800027
28253,404-7930213-9680335,04-14-22,Shipped,Amazon,Set,M,B08XNJG8B1,Shipped,1,680,HYDERABAD,TELANGANA,500091
28254,171-0885630-1855560,04-14-22,Shipped,Amazon,kurta,M,B081WZ8S6B,Shipped,1,362,CUTTACK,ODISHA,753003
28255,171-0885630-1855560,04-14-22,Shipped,Amazon,kurta,M,B081WVMMCY,Shipped,1,1112,CUTTACK,ODISHA,753003
28256,404-6083149-8687564,04-14-22,Shipped,Amazon,kurta,L,B081WSCKPQ,Shipped,1,319,MIHIJAM,JHARKHAND,815354
28257,406-6616440-4247506,04-14-22,Shipped,Amazon,Set,XL,B09NQ51CH7,Shipped,1,399,ASARIPALLAM,TAMIL NADU,629201
28258,405-1098639-0542749,04-14-22,Cancelled,Merchant,kurta,L,B09K3TM23D,Null,0,399,NEW DELHI,DELHI,110031
28259,403-0345395-2325944,04-14-22,Shipped - Delivered to Buyer,Merchant,Blouse,Free,B07818CHQF,Shipped,1,635,Cuttack,ODISHA,754025
28260,405-4021528-7327546,04-14-22,Shipped,Amazon,kurta,XS,B07T65YSP5,Shipped,1,436,JUNAGADH,Gujarat,362001
28261,403-8619956-0601165,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,S,B0822SHZ5K,Shipped,1,419,CHAPRA,BIHAR,841301
28262,403-6251077-0454729,04-14-22,Shipped,Amazon,Set,XS,B09QJ4HQK8,Shipped,1,376,CHAPRA,BIHAR,841301
28263,404-8813657-8117931,04-14-22,Shipped,Amazon,Set,XL,B09QJ52STD,Shipped,1,788,THIRUVANANTHAPURAM,KERALA,695009
28264,407-5958237-5831549,04-14-22,Shipped,Amazon,Set,M,B09QJM3X1K,Shipped,1,1126,HYDERABAD,TELANGANA,500052
28265,405-0387737-2918718,04-14-22,Shipped,Amazon,kurta,L,B08RP49CLQ,Shipped,1,969,Bangalore,KARNATAKA,560078
28266,408-0506838-5731544,04-14-22,Shipped,Amazon,kurta,M,B081WVMMCY,Shipped,1,1126,Chennai,TAMIL NADU,600061
28267,406-8776888-7130717,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XS,B099FCBF34,Shipped,1,568,AMBUR,TAMIL NADU,635802
28268,407-8408260-9313913,04-14-22,Shipped,Amazon,kurta,3XL,B093ZRBGR9,Shipped,1,399,JAMNAGAR,Gujarat,361001
28269,405-0461755-4215524,04-14-22,Shipped,Amazon,kurta,M,B09K3TMCKY,Shipped,1,329,BENGALURU,KARNATAKA,560098
28270,407-6285232-9246726,04-14-22,Shipped,Amazon,Set,M,B09K3M182M,Shipped,1,342,NAVI MUMBAI,MAHARASHTRA,410206
28271,407-8732342-6786708,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,M,B09K3JW9KT,Shipped,1,459,NAVI MUMBAI,MAHARASHTRA,410206
28272,403-4394126-6906744,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XL,B09K3S4P57,Shipped,1,1099,KOYRA,WEST BENGAL,743294
28273,407-4274380-3177122,04-13-22,Shipped - Delivered to Buyer,Merchant,Set,M,B09NQ4NM75,Shipped,1,666,NAVI MUMBAI,MAHARASHTRA,410206
28274,402-1131464-4453964,04-13-22,Shipped - Delivered to Buyer,Merchant,Set,XL,B09K3SJVR1,Shipped,1,458,Varanasi,UTTAR PRADESH,221106
